Passport Category,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
Europe: United Kingdom,4169,7941,6439,6095,6057,6389,7455,5672,5494,11353
Europe: Ireland,58,95,172,85,167,180,180,88,91,94
Europe: Other Europe: EU Member countries: France,31,68,411,25,298,437,186,45,34,22
Europe: Other Europe: EU Member countries: Germany,31,36,158,16,127,213,101,38,170,20
Europe: Other Europe: EU Member countries: Italy,61,133,285,30,386,462,320,53,74,35
Europe: Other Europe: EU Member countries: Portugal,29,1454,83,23,132,133,228,31,37,38
Europe: Other Europe: EU Member countries: Spain,45,85,252,12,186,286,140,39,61,5
Europe: Other Europe: EU Member countries: Lithuania,31,159,26,11,18,50,91,17,6,65
Europe: Other Europe: EU Member countries: Poland,108,548,132,35,66,93,162,71,70,44
Europe: Other Europe: EU Member countries: Romania,104,476,67,16,60,63,107,18,38,98
Europe: Other Europe: EU Member countries: Other EU countries,128,378,584,93,493,779,546,138,171,89
Europe: Other Europe: Rest of Europe: Turkey,0,2,74,22,45,72,34,1,34,2
Europe: Other Europe: Rest of Europe: Other Europe,12,93,146,12,254,284,129,16,24,12
Africa: North Africa,10,44,53,1,53,66,37,5,3,0
Africa: Central and Western Africa: Ghana,22,21,9,3,7,3,27,1,2,7
Africa: Central and Western Africa: Nigeria,26,33,13,2,7,16,79,9,1,22
Africa: Central and Western Africa: Other Central and Western Africa,15,11,8,0,19,5,21,1,1,0
Africa: South and Eastern Africa: Kenya,1,13,3,2,3,4,10,2,4,1
Africa: South and Eastern Africa: Somalia,1,2,2,0,0,0,1,0,0,0
Africa: South and Eastern Africa: South Africa,2,14,11,9,9,19,32,16,21,12
Africa: South and Eastern Africa: Zimbabwe,3,8,0,0,6,1,6,3,9,4
Africa: South and Eastern Africa: Other South and Eastern Africa,15,23,10,2,13,9,34,4,3,2
Middle East and Asia: Middle East: Iran,7,5,13,2,14,16,5,0,4,3
Middle East and Asia: Middle East: Iraq,6,1,0,1,1,1,1,18,6,0
Middle East and Asia: Middle East: Other Middle East,7,2,61,0,85,120,47,8,3,1
Middle East and Asia: Eastern Asia: China,7,7,456,21,334,148,442,14,74,16
Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),3,0,74,11,30,34,64,8,21,0
Middle East and Asia: Eastern Asia: Japan,9,0,38,3,149,73,11,10,25,2
Middle East and Asia: Eastern Asia: Other Eastern Asia,2,4,75,44,46,24,93,142,23,3
Middle East and Asia: Southern Asia: Afghanistan,8,26,0,0,1,4,1,2,0,1
Middle East and Asia: Southern Asia: Bangladesh,6,16,37,4,13,9,51,0,1,7
Middle East and Asia: Southern Asia: India,387,924,206,32,129,242,275,36,56,25
Middle East and Asia: Southern Asia: Pakistan,26,117,19,6,40,19,65,21,11,9
Middle East and Asia: Southern Asia: Sri Lanka,8,55,4,18,6,3,8,34,7,6
Middle East and Asia: Southern Asia: Other Southern Asia,0,120,0,1,3,8,2,6,0,0
Middle East and Asia: South-East Asia: Malaysia,10,15,127,1,97,77,115,9,17,2
Middle East and Asia: South-East Asia: Philippines,4,57,123,6,31,93,25,16,13,6
Middle East and Asia: South-East Asia: Singapore,3,4,105,3,42,40,39,0,0,0
Middle East and Asia: South-East Asia: Other South-East Asia,4,18,60,0,49,40,34,6,5,3
Middle East and Asia: Central Asia,2,1,15,0,31,10,12,0,0,0
The Americas and the Caribbean: North America: Canada,7,4,60,4,103,106,64,4,13,4
The Americas and the Caribbean: North America: United States,16,10,202,9,197,331,83,14,33,2
The Americas and the Caribbean: Central America,0,1,19,0,21,26,17,0,0,0
The Americas and the Caribbean: South America,44,27,63,10,87,115,78,25,17,7
The Americas and the Caribbean: The Caribbean: Jamaica,26,9,0,0,1,5,14,1,1,1
The Americas and the Caribbean: The Caribbean: Other Caribbean,14,7,12,1,16,12,20,0,0,3
Antarctica and Oceania: Australasia: Australia,4,4,72,5,91,99,63,4,22,7
Antarctica and Oceania: Australasia: New Zealand,2,3,20,7,16,16,34,5,8,6
Antarctica and Oceania: Other Antarctica and Oceania,0,1,0,0,22,0,0,0,0,0
British Overseas Territories,1,0,0,0,0,0,0,0,0,0
No passport held,278,962,296,386,304,307,273,339,235,944
